ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
50529;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Gerichtsgebäude, sog. Schranne;Hoher Markt 5;541;Bescheid
91875;Wien 1 - Innere Stadt;01004 Innere Stadt;Unterirdische Bedürfnisanstalt, Öffentliche WC-Anlage;Irisgasse;1597;§ 2a
50555;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, Stephanshof;Jasomirgottstraße 3-5;603/3;Bescheid
29122;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Johannesgasse 14;1335/2;Bescheid
32650;Wien 1 - Innere Stadt;01004 Innere Stadt;Stadtpalais, Savoy'sches Damenstift;Johannesgasse 15;981;Bescheid
29123;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Johannesgasse 16;1339;Bescheid
29212;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Johannesgasse 18;1338;Bescheid
27629;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Johanneshof, ehem. Kommendehaus des Malteser Ritterordens;Johannesgasse 2;1000/2;Bescheid
97677;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Johannesgasse 22;1318;Bescheid
32651;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Larisch-Mönnich, heute Irakische Botschaft;Johannesgasse 26;1315;Bescheid
20949;Wien 1 - Innere Stadt;01004 Innere Stadt;Kursalon im Stadtpark;Johannesgasse 33;1341;Bescheid
20964;Wien 1 - Innere Stadt;01004 Innere Stadt;Musikpavillon vor dem Kursalon;Johannesgasse 33;1341;Bescheid
27632;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Haus des Wiener Kaufmännischen Vereines/Metro-Kino;Johannesgasse 4;1003/3;§ 2a
38500;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Questenberg/Kaunitz, BM für Finanzen;Johannesgasse 5, 5a;993;§ 2a
27635;Wien 1 - Innere Stadt;01004 Innere Stadt;Amtsgebäude, Hofkammerarchiv;Johannesgasse 6;1005/2;Bescheid
27636;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Corbelli-Schoeller;Johannesgasse 7;991;Bescheid
77099;Wien 1 - Innere Stadt;01004 Innere Stadt;Ursulinenkirche;Johannesgasse 8;1010;Bescheid
27643;Wien 1 - Innere Stadt;01004 Innere Stadt;Hochschule für Musik und darstellende Kunst, ehem. Ursulinenkloster;Johannesgasse 8;1008, 1009;Bescheid
27644;Wien 1 - Innere Stadt;01004 Innere Stadt;Ginzkeyhof;Johannesgasse 9, 11, 13;988;§ 2a
20133;Wien 1 - Innere Stadt;01004 Innere Stadt;Kaiser Joseph-Denkmal (Joseph II.);Josefsplatz;1673;Bescheid
13769;Wien 1 - Innere Stadt;01004 Innere Stadt;Nationalbibliothek, Prunksaaltrakt und Josefsplatz;Josefsplatz 2;1, 1673;Bescheid
20111;Wien 1 - Innere Stadt;01004 Innere Stadt;Redoutensaaltrakt;Josefsplatz 3, 4;1;Bescheid
30690;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Fries-Pallavicini;Josefsplatz 5;1168;Bescheid
40741;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Pálffy;Josefsplatz 6;1170;Bescheid
92259;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohnhaus;Judengasse 3;532;Bescheid
50526;Wien 1 - Innere Stadt;01004 Innere Stadt;Irene-Harand-Hof;Judengasse 4;531;§ 2a
85324;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Judengasse 7;534;Bescheid
20939;Wien 1 - Innere Stadt;01004 Innere Stadt;Gotthold Ephraim Lessing-Denkmal;Judenplatz;1619;§ 2a
92270;Wien 1 - Innere Stadt;01004 Innere Stadt;Holocaust-Mahnmal;Judenplatz;1619;§ 2a
32653;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Zur Flucht nach Ägypten;Judenplatz 1;"405/1; 405/2";Bescheid
1206;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Böhmische Hofkanzlei, jetzt Verwaltungsgerichtshof;Judenplatz 11;351;§ 2a
32747;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Zum großen Jordan;Judenplatz 2;404;Bescheid
50512;Wien 1 - Innere Stadt;01004 Innere Stadt;Bürgerhaus, Genossenschaftshaus der Gastwirte;Judenplatz 3-4;353;§ 2a
92264;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Judenplatz 5;354;Bescheid
50510;Wien 1 - Innere Stadt;01004 Innere Stadt;Volksschule, Pazelt Hof;Judenplatz 6;359;§ 2a
32775;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus, Zur Kleinen Dreifaltigkeit;Judenplatz 7;345;Bescheid
50511;Wien 1 - Innere Stadt;01004 Innere Stadt;Misrachi-Haus, Museum Judenplatz;Judenplatz 8;346;§ 2a
40752;Wien 1 - Innere Stadt;01004 Innere Stadt;Karlsplatz 2 Pavillions und Teilabschnitt der ehem. Stadtbahn;Karlsplatz;"1953; 1952; 1764, 1765, 1766";Bescheid
40753;Wien 1 - Innere Stadt;01004 Innere Stadt;Künstlerhaus;Karlsplatz 5;1289;Bescheid
27545;Wien 1 - Innere Stadt;01004 Innere Stadt;Kärntner Bar, American Bar, Loos-Bar;Kärntner Durchgang 7;1078/1;Bescheid
1814;Wien 1 - Innere Stadt;01004 Innere Stadt;Hotel Bristol;Kärntner Ring 1;1258, 1259;Bescheid
79388;Wien 1 - Innere Stadt;01004 Innere Stadt;Fahrgastunterstand;Kärntner Ring 1, vor;1838;Bescheid
10254;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Ring 10;1283;Bescheid
10255;Wien 1 - Innere Stadt;01004 Innere Stadt;Miethaus;Kärntner Ring 12;1287;Bescheid
10256;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Todesco;Kärntner Ring 14;1285;Bescheid
10257;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Ring 15;1281;Bescheid
22237;Wien 1 - Innere Stadt;01004 Innere Stadt;Hotel Imperial, ehem. Palais Philipp von Württemberg;Kärntner Ring 16;1292;Bescheid
1815;Wien 1 - Innere Stadt;01004 Innere Stadt;Hainischhaus, Teil der Ringstraßengalerien;Kärntner Ring 3;1260;Bescheid
1816;Wien 1 - Innere Stadt;01004 Innere Stadt;Palais Königswarter mit der Schratt-Wohnung;Kärntner Ring 4;1251;Bescheid
20026;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Ring 6;1252;Bescheid
1817;Wien 1 - Innere Stadt;01004 Innere Stadt;Haus Viktor Ephrussi;Kärntner Ring 8;1253;Bescheid
10253;Wien 1 - Innere Stadt;01004 Innere Stadt;Grand Hotel und Ringstraßengalerie, Dänische Botschaft;Kärntner Ring 9, 11, 13;1273, 1274, 1277/2, 1278, 1279;Bescheid
27551;Wien 1 - Innere Stadt;01004 Innere Stadt;Ehem. Porzellanhaus Wahliss;Kärntner Straße 17;938;Bescheid
27566;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus, BM für Finanzen;Kärntner Straße 27;996;Bescheid
77201;Wien 1 - Innere Stadt;01004 Innere Stadt;Malteserkirche hl. Johannes der Täufer;Kärntner Straße 35;1001;Bescheid
27579;Wien 1 - Innere Stadt;01004 Innere Stadt;Geschäftslokal Ciro (ehem. Slanina);Kärntner Straße 36;1177;Bescheid
27580;Wien 1 - Innere Stadt;01004 Innere Stadt;Wohn- und Geschäftshaus;Kärntner Straße 37;1000/1;Bescheid
