ObjektID;Gemeinde;KG;Bezeichnung;Adresse;GdstNr;Status
60852;Salzburg (Statutarstadt);56537 Salzburg;Franziskanerkloster und archäologische Fundhoffnungsgebiete;Franziskanergasse 5, 5a;323, 324, 326/1;Bescheid
89561;Salzburg (Statutarstadt);56537 Salzburg;Salzachweibchenbrunnen;Franz-Josef-Kai;418/1;§ 2a
47755;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Franz-Josef-Kai 15;428;Bescheid
60827;Salzburg (Statutarstadt);56537 Salzburg;ehem. Ursulinenkirche, Markuskirche;Franz-Josef-Kai 21;419, 420/1;§ 2a
42293;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schiffmeister Gugghaus;Franz-Josef-Kai 5;433;Bescheid
42292;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus, Schiffmeister Gugg Haus;Franz-Josef-Kai 7;432;Bescheid
44855;Salzburg (Statutarstadt);56537 Salzburg;Bürgerhaus;Franz-Josef-Kai 9;431;Bescheid
48867;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Geschäftshaus, Teil der sogenannten Faberhäuser;Franz-Josef-Straße 4;1058;Bescheid
42181;Salzburg (Statutarstadt);56537 Salzburg;Miethaus, Hellerhaus;Franz-Josef-Straße 8;1063/1;Bescheid
35560;Salzburg (Statutarstadt);56537 Salzburg;Schloss Freisaal;Freisaalweg 31;2081;Bescheid
35561;Salzburg (Statutarstadt);56537 Salzburg;Gutshof, ehem. Weiherhof;Fürbergstraße 40;1844;Bescheid
35562;Salzburg (Statutarstadt);56537 Salzburg;Landesfürstl. Gestüthof - Magazingebäude;Fürstenallee 21;2348/2;Bescheid
75050;Salzburg (Statutarstadt);56537 Salzburg;Municipium Ivavum;Furtwänglerpark;373;Bescheid
60736;Salzburg (Statutarstadt);56537 Salzburg;Wohn- und Verwaltungsgebäude der Rauchmühle, ehem. Fisslthaler Mühle;Gailenbachweg 9;3395/4;Bescheid
